Council,Year,Sum
Mansfield,2016,171
Mansfield,2017,266
Mansfield,2018,194
Mansfield,2019,142
Mansfield,2020,158
Mansfield,2021,208
Mansfield,2022,180
Mansfield,2023,118
Mansfield,2024,192
Maribyrnong,2016,2584
Maribyrnong,2017,2512
Maribyrnong,2018,2195
Maribyrnong,2019,2373
Maribyrnong,2020,2418
Maribyrnong,2021,2900
Maribyrnong,2022,2189
Maribyrnong,2023,2442
Maribyrnong,2024,2686
Maroondah,2016,2550
Maroondah,2017,2776
Maroondah,2018,2727
Maroondah,2019,2796
Maroondah,2020,2587
Maroondah,2021,2830
Maroondah,2022,2437
Maroondah,2023,2800
Maroondah,2024,2979
Melbourne,2016,11149
Melbourne,2017,11572
Melbourne,2018,11483
Melbourne,2019,11873
Melbourne,2020,10788
Melbourne,2021,14082
Melbourne,2022,11010
Melbourne,2023,9795
Melbourne,2024,10037
Melton,2016,2862
Melton,2017,3015
Melton,2018,3011
Melton,2019,3013
Melton,2020,3201
Melton,2021,4598
Melton,2022,3405
Melton,2023,3559
Melton,2024,3989
Merri-bek,2016,3331
Merri-bek,2017,3381
Merri-bek,2018,3390
Merri-bek,2019,3589
Merri-bek,2020,3346
Merri-bek,2021,4238
Merri-bek,2022,2959
Merri-bek,2023,3091
Merri-bek,2024,3440
Mildura,2016,2343
Mildura,2017,2777
Mildura,2018,2551
Mildura,2019,2816
Mildura,2020,2906
Mildura,2021,2731
Mildura,2022,2634
Mildura,2023,3056
Mildura,2024,3373
Mitchell,2016,1448
Mitchell,2017,1601
Mitchell,2018,1510
Mitchell,2019,1541
Mitchell,2020,1488
Mitchell,2021,1772
Mitchell,2022,1299
Mitchell,2023,1337
Mitchell,2024,1569
Moira,2016,666
Moira,2017,740
Moira,2018,854
Moira,2019,734
Moira,2020,860
Moira,2021,870
Moira,2022,826
Moira,2023,802
Moira,2024,956
Monash,2016,2378
Monash,2017,2796
Monash,2018,2556
Monash,2019,2716
Monash,2020,2979
Monash,2021,4062
Monash,2022,3011
Monash,2023,3154
Monash,2024,3592
Moonee Valley,2016,2321
Moonee Valley,2017,2563
Moonee Valley,2018,2256
Moonee Valley,2019,2429
Moonee Valley,2020,2275
Moonee Valley,2021,2875
Moonee Valley,2022,2388
Moonee Valley,2023,2281
Moonee Valley,2024,2314
Moorabool,2016,732
Moorabool,2017,812
Moorabool,2018,734
Moorabool,2019,714
Moorabool,2020,582
Moorabool,2021,1051
Moorabool,2022,737
Moorabool,2023,679
Moorabool,2024,832
Mornington Peninsula,2016,3885
Mornington Peninsula,2017,4130
Mornington Peninsula,2018,3929
Mornington Peninsula,2019,3691
Mornington Peninsula,2020,3458
Mornington Peninsula,2021,4414
Mornington Peninsula,2022,3300
Mornington Peninsula,2023,3405
Mornington Peninsula,2024,3616
Mount Alexander,2016,415
Mount Alexander,2017,411
Mount Alexander,2018,339
Mount Alexander,2019,369
Mount Alexander,2020,372
Mount Alexander,2021,374
Mount Alexander,2022,364
Mount Alexander,2023,332
Mount Alexander,2024,409
Moyne,2016,222
Moyne,2017,218
Moyne,2018,214
Moyne,2019,213
Moyne,2020,247
Moyne,2021,265
Moyne,2022,279
Moyne,2023,230
Moyne,2024,208
Murrindindi,2016,255
Murrindindi,2017,230
Murrindindi,2018,264
Murrindindi,2019,291
Murrindindi,2020,227
Murrindindi,2021,369
Murrindindi,2022,262
Murrindindi,2023,269
Murrindindi,2024,283
Nillumbik,2016,688
Nillumbik,2017,762
Nillumbik,2018,683
Nillumbik,2019,674
Nillumbik,2020,667
Nillumbik,2021,775
Nillumbik,2022,602
Nillumbik,2023,534
Nillumbik,2024,548
Northern Grampians,2016,469
Northern Grampians,2017,551
Northern Grampians,2018,518
Northern Grampians,2019,393
Northern Grampians,2020,414
Northern Grampians,2021,519
Northern Grampians,2022,501
Northern Grampians,2023,423
Northern Grampians,2024,425
Port Phillip,2016,3278
Port Phillip,2017,2996
Port Phillip,2018,3372
Port Phillip,2019,3233
Port Phillip,2020,3139
Port Phillip,2021,4282
Port Phillip,2022,3120
Port Phillip,2023,3009
Port Phillip,2024,3172
Pyrenees,2016,140
Pyrenees,2017,136
Pyrenees,2018,111
Pyrenees,2019,200
Pyrenees,2020,109
Pyrenees,2021,165
Pyrenees,2022,128
Pyrenees,2023,111
Pyrenees,2024,126
Queenscliffe,2018,19
Queenscliffe,2019,38
South Gippsland,2016,506
South Gippsland,2017,547
South Gippsland,2018,529
South Gippsland,2019,513
South Gippsland,2020,591
South Gippsland,2021,704
South Gippsland,2022,572
South Gippsland,2023,702
South Gippsland,2024,736
Southern Grampians,2016,450
Southern Grampians,2017,550
Southern Grampians,2018,553
Southern Grampians,2019,683
Southern Grampians,2020,482
Southern Grampians,2021,469
Southern Grampians,2022,477
Southern Grampians,2023,475
Southern Grampians,2024,547
Stonnington,2016,2594
Stonnington,2017,2930
Stonnington,2018,2909
Stonnington,2019,2963
Stonnington,2020,2749
